"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 10월 15일","23.2601","23.4502","23.5600","23.1391","145.06K","-0.81%"
"2022년 10월 14일","23.4502","23.4393","24.1500","23.3497","208.04K","0.05%"
"2022년 10월 13일","23.4393","23.3554","23.5710","22.1312","324.03K","0.36%"
"2022년 10월 12일","23.3554","23.2496","23.4608","23.2083","107.23K","0.46%"
"2022년 10월 11일","23.2496","23.5499","23.5909","23.1119","395.80K","-1.28%"
"2022년 10월 10일","23.5499","24.1400","24.2705","23.5300","305.56K","-2.44%"
"2022년 10월 09일","24.1401","24.1300","24.2404","23.9504","108.19K","0.04%"
"2022년 10월 08일","24.1300","24.4721","24.6004","23.9603","117.16K","-1.40%"
"2022년 10월 07일","24.4721","24.4996","25.8747","24.2305","920.39K","-0.11%"
"2022년 10월 06일","24.4996","24.7699","25.1697","24.3401","208.97K","-1.09%"
"2022년 10월 05일","24.7699","25.1012","25.1502","24.4207","180.35K","-1.32%"
"2022년 10월 04일","25.1012","24.7498","25.2805","24.6006","251.38K","1.42%"
"2022년 10월 03일","24.7498","24.0394","24.8495","23.8897","429.58K","2.96%"
"2022년 10월 02일","24.0394","24.2800","24.3794","23.9312","154.97K","-0.99%"
"2022년 10월 01일","24.2800","24.2401","24.5001","23.9897","235.44K","0.16%"
"2022년 09월 30일","24.2401","24.3010","24.9600","23.9700","365.45K","-0.25%"
